
                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1               60           881.1            1172        0
    2               88           881.1            1065        1
    3              116           854.6            1001        0
    4              144           854.6           977.6        1
    5              172           854.6           924.8        2
    6              200           854.6           910.4        3
    7              228           850.5           896.3        0
    8              256           850.5           881.5        1
    9              284           850.5           878.3        2
   10              312           850.5           878.3        3
   11              340           850.5           881.4        4
   12              368           850.5           873.2        5
   13              396           850.5             873        6
   14              424           850.5           867.8        7
   15              452           850.5           873.8        8
   16              480           849.7           873.6        0
   17              508           849.7           867.8        1
   18              536           849.7           868.4        2
   19              564           849.7           866.1        3
   20              592           849.7             872        4
ga stopped because it exceeded options.MaxGenerations.
Optimized → Kp=5.437, Ki=4.768, Kd=0.600, N=32.8
