                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1               60           645.4           686.1        0
    2               88           641.6           673.6        0
    3              116           641.6           661.6        1
    4              144           641.6           655.3        2
    5              172           641.6           650.8        3
    6              200           641.6           648.7        0
    7              228           641.6           646.2        1
    8              256           641.6           646.2        2
    9              284           641.6           645.3        0
   10              312           641.6           644.5        1
   11              340           641.5           643.1        0
   12              368           641.5           642.8        0
   13              396           641.5           642.9        0
   14              424           641.5           643.2        0
   15              452           641.5           643.1        0
   16              480           641.5           643.5        1
   17              508           641.5           643.2        2
ga stopped by the output or plot function. The reason for stopping: 
Stop requested from plot function.
Optimized → Kp=95.231, Ki=52.915, Kd=61.268, N=16.2
